symbol,sector,industry,gain,market_cap
GEN,Technology,Software - Infrastructure,-0.07574750830564787,17305742441.52
GENC,Industrials,Farm & Heavy Construction Machinery,-0.05070046697798531,207846214.35999998
GENI,Communication Services,Internet Content & Information,0.19261477045908182,2777213600.7599998
GENK,Consumer Cyclical,Restaurants,-0.21671018276762405,93447092.94
GEOS,Energy,Oil & Gas Equipment & Services,0.43452816386247256,254001829.76
GERN,Healthcare,Biotechnology,-0.014598540145985413,878928168.5999999
GES,Consumer Cyclical,Apparel Retail,0.2779043280182231,873463037.6500001
GETY,Communication Services,Internet Content & Information,0.35294117647058815,862266796.05
GEV,Utilities,Utilities - Renewable,0.12202987101154114,167259314097.42
GEVO,Basic Materials,Specialty Chemicals,0.48611111111111127,486408044.21999997
GFAI,Industrials,Security & Protection Services,-0.04838709677419359,12079992.76
GFF,Industrials,Conglomerates,0.02354024197790626,3685483876.4600005
GFI,Basic Materials,Gold,0.6978243352135375,37823714240.0
GFL,Industrials,Waste Management,-0.028136723634847736,18394608672.44
GFR,Energy,Oil & Gas E&P,0.08219178082191789,318613380.48
GFS,Technology,Semiconductors,-0.08061617458279847,19761104294.02
GGAL,Financial Services,Banks - Regional,-0.4066184074457084,2542499700.0
GGB,Basic Materials,Steel,0.06514657980456032,4302816000.0
GGG,Industrials,Specialty Industrial Machinery,-0.03253053304417298,14383258294.2
GGR,Consumer Cyclical,Auto Manufacturers,-0.11686782455107451,88606046.7
GH,Healthcare,Diagnostics & Research,0.26846992329430774,7585481763.86
GHC,Consumer Defensive,Education & Training Services,0.27162142927528937,5031949889.52
GHG,Consumer Cyclical,Lodging,-0.02232142857142869,219330110.88000003
GHI,Financial Services,Mortgage Finance,-0.12316968130921617,238727030.5
GHLD,Financial Services,Mortgage Finance,0.007070707070707099,1234362689.24
GHM,Industrials,Specialty Industrial Machinery,0.06359149582384209,626046642.54
GHRS,Healthcare,Biotechnology,-0.1269576807730757,694055454.3
GIB,Technology,Information Technology Services,-0.12086330935251793,20509509290.780003
GIC,Technology,Communication Equipment,0.27615658362989315,1378821995.47
GIFI,Industrials,Metal Fabrication,0.08588064046579329,125048835.45
GIGM,Communication Services,Electronic Gaming & Multimedia,0.13199919142914895,18236187.75
GIII,Consumer Cyclical,Apparel Manufacturing,0.16779949022939675,1181335932.44
